"year","sex","age","height","weight","bmi","education","citizenship","country"
1950,0,32,160.39,67.01,26.05,"Higher","ES citizen","ES"
1984,1,30,167.61,65.73,23.4,"Only primary","ES citizen","ES"
1945,0,8,156.82,72.57,29.51,"Primary","ES citizen","ES"
1951,0,58,146.27,74.33,34.74,"Only secondary","ES citizen","ES"
1958,1,21,167.46,67.12,23.93,"Only secondary","ES citizen","ES"
2011,1,47,177.28,70.93,22.57,"Only primary","ES citizen","ES"
1942,1,99,173.72,56.21,18.63,"Only primary","ES citizen","ES"
1947,0,39,167.62,73.71,26.23,"Higher","ES citizen","ES"
1949,1,34,163.03,66.25,24.93,"Higher","ES citizen","ES"
1996,1,72,171.02,73.82,25.24,"Only primary","ES citizen","ES"
1953,0,81,152.75,89.85,38.51,"Higher","ES citizen","ES"
1972,1,94,164.08,77,28.6,"Only primary","ES citizen","ES"
2002,0,21,155.87,79.55,32.74,"Higher","ES citizen","ES"
2025,1,12,170.73,70.93,24.33,"Secondary","ES citizen","ES"
2019,1,44,166.56,65.03,23.44,"Higher","ES citizen","ES"
1970,0,54,151.81,90.51,39.27,"Higher","non-ES citizen","ES"
2005,1,96,172.05,71.52,24.16,"Only primary","ES citizen","ES"
2013,1,79,183.67,64.28,19.05,"Only kindergarten","ES citizen","ES"
2021,0,2,164.65,73.05,26.95,"None","ES citizen","ES"
2008,0,33,176.75,72.68,23.26,"Higher","ES citizen","ES"
1973,1,69,161.31,71,27.29,"Only secondary","ES citizen","ES"
2003,0,29,159.87,83.46,32.65,"Only secondary","ES citizen","ES"
1967,1,85,188.16,74.65,21.09,"Only secondary","ES citizen","ES"
2015,0,83,153.27,54.45,23.18,"Only primary","ES citizen","ES"
2000,1,89,178.85,73.58,23,"Only primary","ES citizen","ES"
1994,0,77,168.94,82.13,28.78,"Only primary","ES citizen","ES"
1952,1,36,182.08,79.29,23.92,"Higher","ES citizen","ES"
2009,1,41,174.06,73.92,24.4,"Only kindergarten","ES citizen","ES"
1937,0,52,158.03,76.5,30.63,"Higher","ES citizen","ES"
1972,1,67,182.34,71.19,21.41,"Only primary","ES citizen","ES"
1942,1,22,168.07,61.57,21.8,"Higher","ES citizen","ES"
1949,0,70,145.41,90.75,42.92,"Only secondary","ES citizen","ES"
1979,0,68,163.5,86.62,32.4,"Only secondary","ES citizen","ES"
1945,1,84,167.33,72.54,25.91,"Higher","ES citizen","ES"
1971,1,100,176.52,58.57,18.8,"Higher","ES citizen","ES"
1951,1,33,173.64,53.97,17.9,"Higher","non-ES citizen","ES"
2014,0,26,159.79,83.43,32.68,"Only secondary","ES citizen","ES"
1962,1,4,168.25,72.33,25.55,"Kindergarten","ES citizen","ES"
2005,1,100,179.17,66.44,20.7,"Only kindergarten","ES citizen","ES"
1989,1,14,171.04,74.33,25.41,"Secondary","non-ES citizen","ES"
1965,0,74,165.59,84.05,30.65,"Only secondary","ES citizen","ES"
1935,0,74,173.22,72.36,24.12,"Higher","ES citizen","ES"
1990,0,32,155.18,71.49,29.69,"Higher","non-ES citizen","ES"
1994,0,67,169.37,82.44,28.74,"Higher","ES citizen","ES"
1951,0,71,158.03,81.32,32.56,"Only secondary","ES citizen","ES"
1958,0,16,174.62,80.98,26.56,"Secondary","ES citizen","ES"
1968,0,75,171.18,76.54,26.12,"Higher","ES citizen","ES"
2003,0,96,153.23,76.69,32.66,"Only primary","ES citizen","ES"
1988,0,42,157.81,76.18,30.59,"Only secondary","ES citizen","ES"
1989,0,85,161.48,92.91,35.63,"Higher","ES citizen","ES"
1966,1,14,169.25,54.96,19.19,"Secondary","ES citizen","ES"
1984,0,43,168.98,92.32,32.33,"Only secondary","ES citizen","ES"
1933,0,2,159.32,98.95,38.98,"None","ES citizen","ES"
1951,0,82,173.56,59.64,19.8,"Only primary","ES citizen","ES"
1968,1,13,171.35,61.67,21,"None","ES citizen","ES"
1987,0,78,153.27,71.67,30.51,"Higher","ES citizen","ES"
2006,1,53,173.25,39.76,13.25,"Only secondary","ES citizen","ES"
2025,0,27,164.44,65.72,24.3,"Higher","ES citizen","ES"
2024,0,67,158.97,83.91,33.2,"Only primary","ES citizen","ES"
2010,1,57,165.94,73.51,26.7,"Higher","ES citizen","ES"
1930,0,28,166.65,61.81,22.26,"Higher","ES citizen","ES"
1970,0,21,166.04,88.45,32.08,"Only kindergarten","ES citizen","ES"
1992,0,21,157.75,81.19,32.63,"Only primary","ES citizen","ES"
1960,0,88,154.97,67.61,28.15,"Only kindergarten","ES citizen","ES"
2020,1,69,165.38,77.22,28.23,"Only primary","ES citizen","ES"
1925,1,66,161.81,54.45,20.8,"Higher","ES citizen","ES"
2004,0,17,161.38,91.9,35.29,"None","ES citizen","ES"
1937,1,49,167.26,67.26,24.04,"Higher","ES citizen","ES"
1945,0,82,168.11,86.49,30.6,"Only secondary","ES citizen","ES"
1979,0,57,159.3,61.67,24.3,"Only kindergarten","ES citizen","ES"
1963,0,19,161.7,84.73,32.41,"Only secondary","ES citizen","ES"
1975,1,64,183.84,65.71,19.44,"Higher","ES citizen","ES"
1999,1,40,181.97,68.42,20.66,"Only secondary","ES citizen","ES"
1980,0,17,154.52,72.34,30.3,"Secondary","ES citizen","ES"
1931,1,93,170.57,75.52,25.96,"Higher","ES citizen","ES"
2003,1,64,170.2,58.37,20.15,"Higher","ES citizen","ES"
1943,0,6,159.03,88.88,35.14,"Primary","ES citizen","ES"
1941,1,62,184.1,50.91,15.02,"Only secondary","ES citizen","ES"
1933,1,16,172.46,66.21,22.26,"None","ES citizen","ES"
1942,1,77,190.68,71.67,19.71,"Higher","ES citizen","ES"
1955,0,72,164.9,75.64,27.82,"Only secondary","ES citizen","ES"
1952,0,56,157.96,67.36,27,"Higher","ES citizen","ES"
2010,0,16,169.82,70.28,24.37,"Secondary","ES citizen","ES"
1940,1,90,173.52,65.74,21.83,"Only secondary","ES citizen","ES"
1960,0,28,156.02,77.16,31.7,"Only secondary","non-ES citizen","ES"
1943,0,21,160.65,60.69,23.52,"Higher","non-ES citizen","ES"
1936,0,3,163.31,94.96,35.61,"Kindergarten","non-ES citizen","ES"
1945,1,24,172.04,82.96,28.03,"Only secondary","non-ES citizen","ES"
1942,1,15,171.38,66.62,22.68,"None","non-ES citizen","ES"
1944,0,34,161.53,79.2,30.35,"Only secondary","ES citizen","ES"
1970,0,34,168.35,69.03,24.36,"Higher","ES citizen","ES"
1991,1,23,170.11,70.62,24.4,"Higher","ES citizen","ES"
1928,1,45,173.96,68.98,22.79,"Only secondary","ES citizen","ES"
2025,0,64,165.66,71.19,25.94,"Higher","non-ES citizen","ES"
1986,1,64,164.98,74.87,27.51,"Only secondary","ES citizen","ES"
2015,0,98,156.48,83.93,34.28,"Only secondary","ES citizen","ES"
1935,0,97,170.77,70.75,24.26,"Only kindergarten","ES citizen","ES"
1925,0,38,166.69,76.57,27.56,"Only secondary","ES citizen","ES"
1979,0,69,166.24,72.26,26.15,"Higher","ES citizen","ES"
1965,1,6,177.14,70.03,22.32,"Primary","ES citizen","ES"
1980,0,63,165.87,79.73,28.98,"Only primary","ES citizen","ES"
1967,1,5,183.09,83.07,24.78,"Kindergarten","ES citizen","ES"
2021,0,3,161.48,69.73,26.74,"None","non-ES citizen","ES"
1947,1,97,179.43,66.54,20.67,"Higher","ES citizen","ES"
1976,1,39,178.21,63.28,19.93,"Higher","ES citizen","ES"
1986,1,7,175.63,70.66,22.91,"Primary","ES citizen","ES"
1936,1,100,167.85,78.62,27.91,"Higher","ES citizen","ES"
1925,1,88,170.11,63.37,21.9,"Only secondary","ES citizen","ES"
2003,0,41,168.83,75.75,26.58,"Higher","ES citizen","ES"
2002,0,85,163.83,85.04,31.68,"Only secondary","non-ES citizen","ES"
1991,1,73,184.91,58.68,17.16,"Higher","ES citizen","ES"
1982,0,62,153.54,80.44,34.12,"Only secondary","ES citizen","ES"
2025,0,12,162.76,95.83,36.17,"Secondary","ES citizen","ES"
1942,1,35,172.66,66.18,22.2,"Higher","ES citizen","ES"
1968,0,44,155.47,84.55,34.98,"Higher","ES citizen","ES"
1939,1,15,170.91,66.21,22.67,"None","ES citizen","ES"
1995,0,29,156.68,81.72,33.29,"Only primary","ES citizen","ES"
2000,1,70,180.42,89.54,27.51,"Only secondary","ES citizen","ES"
1947,1,22,171.51,62.06,21.1,"Only kindergarten","ES citizen","ES"
1947,0,100,167.46,74.65,26.62,"Higher","ES citizen","ES"
1951,1,73,171.98,78.01,26.38,"Higher","ES citizen","ES"
1967,0,63,148.48,62.82,28.49,"Only primary","ES citizen","ES"
1964,0,28,170.48,91.08,31.34,"Only secondary","ES citizen","ES"
1979,0,7,165.36,81.4,29.77,"Primary","ES citizen","ES"
1966,0,45,154.54,75.59,31.65,"Only kindergarten","ES citizen","ES"
1991,0,33,160.91,92.82,35.85,"Only secondary","ES citizen","ES"
1978,0,57,158.15,75.55,30.21,"Higher","ES citizen","ES"
1976,1,70,168.88,74.47,26.11,"Only primary","ES citizen","ES"
1979,0,87,157.3,58.89,23.8,"Higher","ES citizen","ES"
1964,1,83,167.25,71.72,25.64,"Higher","ES citizen","ES"
1958,1,4,179.36,72.97,22.68,"Kindergarten","ES citizen","ES"
2022,0,69,168.12,84.82,30.01,"Higher","ES citizen","ES"
1943,0,34,151.49,74.23,32.35,"Only kindergarten","ES citizen","ES"
1944,0,20,162.07,83.91,31.95,"Higher","ES citizen","ES"
1939,0,92,160.71,86.96,33.67,"Only secondary","ES citizen","ES"
1987,1,85,188.96,61.56,17.24,"Higher","non-ES citizen","ES"
1989,0,34,151.88,79.72,34.56,"Higher","ES citizen","ES"
2013,0,56,159.76,98.33,38.53,"Higher","ES citizen","ES"
2011,0,72,163.11,69.18,26,"Only kindergarten","ES citizen","ES"
2019,1,56,170.21,71.47,24.67,"Only primary","non-ES citizen","ES"
1987,0,99,161.99,80.39,30.64,"Only secondary","ES citizen","ES"
1996,0,96,164.05,89.29,33.18,"Only primary","ES citizen","ES"
1991,0,34,156.63,71.69,29.22,"Only secondary","ES citizen","ES"
1948,1,52,165.29,63.94,23.4,"Only kindergarten","non-ES citizen","ES"
1938,1,53,164.49,65.15,24.08,"Only secondary","non-ES citizen","ES"
1939,1,40,177.26,85.58,27.24,"Only kindergarten","ES citizen","ES"
1951,1,16,165.06,60.99,22.39,"Secondary","ES citizen","ES"
1955,0,2,170.56,93.79,32.24,"None","ES citizen","ES"
1944,1,56,176.58,55.86,17.92,"Only primary","ES citizen","ES"
1976,0,81,167.81,81.71,29.02,"Only secondary","ES citizen","ES"
1962,1,34,174.65,71.91,23.58,"Higher","ES citizen","ES"
1977,1,27,162.75,70.45,26.6,"Higher","ES citizen","ES"
1968,0,100,160.7,88.07,34.1,"Only primary","ES citizen","ES"
2010,1,92,172.37,54.69,18.41,"Higher","ES citizen","ES"
1962,0,24,160.63,89.97,34.87,"Only secondary","ES citizen","ES"
2015,0,80,166.68,64.62,23.26,"Higher","non-ES citizen","ES"
2020,1,56,175.24,75.46,24.57,"Only secondary","ES citizen","ES"
1995,1,54,178.8,57.06,17.85,"Only secondary","ES citizen","ES"
2015,0,59,151.74,55.31,24.02,"Only secondary","ES citizen","ES"
1989,0,21,163.68,65.77,24.55,"Only secondary","ES citizen","ES"
2019,1,13,178.25,71.27,22.43,"None","ES citizen","ES"
2006,0,72,155.78,94.91,39.11,"Only primary","ES citizen","ES"
1941,1,75,176.91,64.77,20.7,"Higher","ES citizen","ES"
1956,1,24,180.82,60.69,18.56,"Only secondary","ES citizen","ES"
1992,1,4,183.66,85.24,25.27,"Kindergarten","ES citizen","ES"
1969,1,10,173.62,57.06,18.93,"Primary","ES citizen","ES"
2008,1,80,178.56,57.07,17.9,"Only secondary","ES citizen","ES"
2019,1,9,175.07,77.15,25.17,"Primary","ES citizen","ES"
1981,0,46,153.33,77.13,32.81,"Higher","ES citizen","ES"
1933,0,2,155.92,74.46,30.63,"None","ES citizen","ES"
2008,0,44,158.79,83.76,33.22,"Higher","ES citizen","ES"
1987,0,9,149.79,76.38,34.04,"Primary","ES citizen","ES"
2002,1,87,171.36,62.67,21.34,"Higher","ES citizen","ES"
1989,1,20,172.09,81.14,27.4,"Only secondary","ES citizen","ES"
1930,1,61,172.28,78.91,26.59,"Higher","ES citizen","ES"
1993,1,27,172.56,90.32,30.33,"Higher","ES citizen","ES"
1966,0,60,173.47,85.71,28.48,"Only primary","ES citizen","ES"
2015,1,34,176.32,72.5,23.32,"Higher","ES citizen","ES"
1963,1,30,168.77,69.01,24.23,"Only primary","ES citizen","ES"
1936,1,58,160.82,82.37,31.85,"Only secondary","ES citizen","ES"
1965,0,24,157.52,68.87,27.76,"Only primary","non-ES citizen","ES"
1939,1,70,164.21,62.82,23.3,"Higher","ES citizen","ES"
2005,0,8,154.86,64.82,27.03,"Primary","ES citizen","ES"
2023,0,26,159.74,87.07,34.12,"Higher","ES citizen","ES"
1979,0,96,155.1,72.97,30.33,"Higher","ES citizen","ES"
2018,0,12,164.08,79,29.34,"Secondary","ES citizen","ES"
1978,0,17,156.79,74.98,30.5,"Secondary","ES citizen","ES"
1958,0,80,164.14,90.41,33.56,"Only secondary","ES citizen","ES"
1999,0,2,162,74.98,28.57,"None","ES citizen","ES"
1950,1,94,171.78,53.61,18.17,"Higher","non-ES citizen","ES"
1974,0,39,165.91,83.94,30.49,"Only kindergarten","ES citizen","ES"
1943,1,36,161.94,65.21,24.87,"Higher","ES citizen","ES"
1944,1,68,178.57,72.3,22.67,"Only secondary","ES citizen","ES"
1925,0,47,161.83,59.02,22.54,"Higher","ES citizen","ES"
1951,0,95,163.49,72.22,27.02,"Higher","ES citizen","ES"
1954,1,89,180.79,70.91,21.69,"Higher","ES citizen","ES"
2001,1,20,169.64,71.2,24.74,"Only primary","ES citizen","ES"
1942,1,46,172.33,62.9,21.18,"Higher","ES citizen","ES"
1993,0,83,163.82,89.46,33.33,"Only primary","non-ES citizen","ES"
2024,0,76,158.83,67.55,26.78,"Higher","ES citizen","ES"
2009,0,14,167.67,76.01,27.04,"Secondary","ES citizen","ES"
1981,0,43,148.64,75.5,34.17,"Only secondary","ES citizen","ES"
1976,0,31,155.03,73.35,30.52,"Only primary","ES citizen","ES"
1978,1,28,170.77,79.28,27.19,"Only secondary","ES citizen","ES"
1928,1,55,178.16,64.62,20.36,"Higher","ES citizen","ES"
1981,1,45,174.51,86.32,28.34,"Only secondary","ES citizen","ES"
1973,0,15,153.7,69.79,29.54,"Secondary","ES citizen","ES"
1955,0,95,162.58,69.09,26.14,"Higher","ES citizen","ES"
2010,0,83,167.55,65.24,23.24,"Higher","ES citizen","ES"
1992,1,86,163.95,83.15,30.93,"Higher","ES citizen","ES"
2022,0,40,159.7,78.62,30.83,"Higher","ES citizen","ES"
2001,1,74,175.31,63.63,20.7,"Higher","ES citizen","ES"
1987,1,83,168.55,60.05,21.14,"Only primary","ES citizen","ES"
1954,1,16,174.97,71.2,23.26,"Secondary","non-ES citizen","ES"
1971,0,89,174.62,79.89,26.2,"Higher","ES citizen","ES"
1965,1,34,167.45,82.34,29.37,"Only secondary","ES citizen","ES"
1964,0,63,150.36,78.07,34.53,"Higher","non-ES citizen","ES"
1980,0,1,163.46,66.11,24.74,"None","ES citizen","ES"
1937,0,1,158.59,86.91,34.56,"None","ES citizen","ES"
1937,0,91,157.93,80.22,32.16,"Only kindergarten","ES citizen","ES"
1937,0,65,156.38,91.26,37.32,"Higher","ES citizen","ES"
1988,0,9,157.36,77.77,31.41,"Primary","ES citizen","ES"
2023,0,44,162.74,74.32,28.06,"Only primary","ES citizen","ES"
2006,0,2,165.77,66.36,24.15,"None","ES citizen","ES"
1948,0,88,155.46,60.04,24.84,"Only kindergarten","ES citizen","ES"
2001,0,11,165.96,90.05,32.69,"Primary","ES citizen","ES"
1997,1,36,168.29,77.63,27.41,"Higher","ES citizen","ES"
2002,1,36,157.74,70.91,28.5,"Only primary","non-ES citizen","ES"
1950,0,30,151.56,67.78,29.51,"Higher","ES citizen","ES"
1937,1,29,179.24,61.59,19.17,"Only primary","ES citizen","ES"
1976,0,94,157.28,69.78,28.21,"Only secondary","ES citizen","ES"
1927,0,38,165.77,61.88,22.52,"Higher","ES citizen","ES"
1982,0,86,152.22,50.38,21.74,"Higher","ES citizen","ES"
1997,0,74,165.82,73.75,26.82,"Only primary","ES citizen","ES"
1940,0,67,170.16,85.79,29.63,"Higher","ES citizen","ES"
2008,0,77,166.68,78.77,28.35,"Higher","ES citizen","ES"
1946,1,61,180.98,65.95,20.14,"Only secondary","ES citizen","ES"
1993,1,54,168.34,69.92,24.67,"Higher","ES citizen","ES"
1996,1,47,177.35,84.15,26.75,"Only secondary","ES citizen","ES"
1927,1,23,165.69,76.98,28.04,"Only primary","ES citizen","ES"
1939,0,85,168.66,71.51,25.14,"Higher","ES citizen","ES"
1966,1,82,178.4,69.63,21.88,"Higher","ES citizen","ES"
1993,1,34,161.14,71.07,27.37,"Only secondary","ES citizen","ES"
1950,1,99,156.31,58.09,23.78,"Only secondary","ES citizen","ES"
1966,1,96,170.98,58.85,20.13,"Only primary","ES citizen","ES"
1952,1,53,163.53,54.34,20.32,"Only kindergarten","ES citizen","ES"
2003,0,43,155.92,83.54,34.36,"Only secondary","non-ES citizen","ES"
1976,0,57,162.95,63.84,24.04,"Only kindergarten","ES citizen","ES"
1981,0,1,145.49,82,38.74,"None","ES citizen","ES"
1947,0,81,159.36,79.24,31.2,"Only kindergarten","ES citizen","ES"
1998,1,47,177.61,94.39,29.92,"Higher","non-ES citizen","ES"
1980,0,57,168.96,88.34,30.94,"Only secondary","ES citizen","ES"
1956,0,65,157.73,87.18,35.04,"Only kindergarten","ES citizen","ES"
1930,0,18,151.52,77.08,33.57,"Secondary","ES citizen","ES"
1931,1,47,171.06,65.09,22.24,"Only kindergarten","ES citizen","ES"
1949,1,32,170.1,43.86,15.16,"Only secondary","ES citizen","ES"
1981,0,18,151.23,78.29,34.23,"Secondary","ES citizen","ES"
1939,0,36,170.67,72.38,24.85,"Higher","ES citizen","ES"
1990,1,44,175.77,53.7,17.38,"Higher","ES citizen","ES"
1983,1,80,178,86.03,27.15,"Higher","ES citizen","ES"
1978,0,5,169.78,82.64,28.67,"Kindergarten","ES citizen","ES"
1936,1,61,186.48,73.01,21,"Only secondary","ES citizen","ES"
2010,0,37,169.63,65.91,22.91,"Higher","ES citizen","ES"
1979,0,66,160.64,94.95,36.79,"Higher","ES citizen","ES"
1948,0,75,158.33,48.59,19.38,"Only secondary","ES citizen","ES"
1993,0,64,177.58,84.18,26.69,"Higher","ES citizen","ES"
1989,1,5,179.41,72.3,22.46,"None","ES citizen","ES"
1957,1,66,177,59.39,18.96,"Higher","ES citizen","ES"
1936,1,72,185.07,68.91,20.12,"Higher","ES citizen","ES"
2019,1,60,166.04,66.61,24.16,"Higher","ES citizen","ES"
1967,0,34,162.28,53.51,20.32,"Higher","non-ES citizen","ES"
1964,1,99,190.96,46.14,12.65,"Higher","ES citizen","ES"
1959,0,86,157.81,65.14,26.16,"Higher","ES citizen","ES"
2014,1,56,166.58,94.12,33.92,"Only primary","non-ES citizen","ES"
1942,0,77,174.7,73.3,24.02,"Higher","ES citizen","ES"
1928,0,63,160.27,85.66,33.35,"Higher","ES citizen","ES"
1941,1,99,170.21,57.71,19.92,"Higher","ES citizen","ES"
2025,0,9,157.48,69.24,27.92,"Primary","ES citizen","ES"
1945,1,51,170.14,63.19,21.83,"Higher","ES citizen","ES"
1972,0,72,153.65,73.36,31.07,"Only secondary","ES citizen","ES"
1977,0,42,157.75,54.84,22.04,"Only secondary","ES citizen","ES"
1926,1,5,176.21,41.9,13.49,"None","ES citizen","ES"
1979,1,30,165.62,75.6,27.56,"Only primary","ES citizen","ES"
2007,0,21,156.95,65.58,26.62,"Only secondary","non-ES citizen","ES"
1944,1,94,162.95,71.42,26.9,"Only secondary","ES citizen","ES"
1949,1,41,161.19,80.34,30.92,"Only secondary","ES citizen","ES"
1968,0,80,167.58,67.95,24.2,"Only kindergarten","ES citizen","ES"
1961,1,24,168.73,69.33,24.35,"Higher","ES citizen","ES"
1926,1,39,170.86,51.47,17.63,"Higher","non-ES citizen","ES"
1931,0,27,166.61,70.86,25.53,"Only kindergarten","ES citizen","ES"
1966,0,59,172.33,70.54,23.75,"Higher","ES citizen","ES"
1992,1,39,178.59,58.33,18.29,"Only secondary","ES citizen","ES"
1935,1,2,173.24,73.7,24.56,"None","ES citizen","ES"
1978,0,52,162.31,67.56,25.64,"Only kindergarten","ES citizen","ES"
2022,1,86,172.53,62.78,21.09,"Higher","ES citizen","ES"
2019,1,66,181.66,87.76,26.59,"Only secondary","ES citizen","ES"
2020,0,48,165.85,86.65,31.5,"Only primary","ES citizen","ES"
2006,0,42,179.23,70.65,21.99,"Only primary","ES citizen","ES"
1961,0,46,162.8,80.43,30.35,"Only secondary","ES citizen","ES"
1974,0,59,163.5,76.43,28.59,"Only secondary","ES citizen","ES"
1927,0,64,171.11,66.75,22.8,"Only secondary","ES citizen","ES"
1940,0,50,158.3,72.31,28.86,"Higher","ES citizen","ES"
1940,0,99,166.65,85.38,30.74,"Only kindergarten","ES citizen","ES"
2024,1,49,167.34,53.85,19.23,"Only secondary","ES citizen","ES"
1961,0,24,154.88,73.45,30.62,"Only kindergarten","ES citizen","ES"
1951,1,95,180.16,61.79,19.04,"Higher","ES citizen","ES"
1936,0,67,165.04,64.43,23.65,"Higher","ES citizen","ES"
1931,0,36,158.2,95.51,38.16,"Only primary","ES citizen","ES"
2017,0,29,163.99,81.04,30.13,"Higher","ES citizen","ES"
2012,1,11,185.94,53.31,15.42,"Primary","ES citizen","ES"
2012,1,93,176.41,56.69,18.22,"Higher","ES citizen","ES"
1975,0,77,168.49,89.8,31.63,"Higher","non-ES citizen","ES"
1930,0,55,166.2,86.88,31.45,"Only primary","ES citizen","ES"
1998,0,15,159.58,82.87,32.54,"Secondary","ES citizen","ES"
2014,0,79,156.37,65.48,26.78,"Only secondary","ES citizen","ES"
2018,1,87,170.31,72.27,24.92,"Only primary","ES citizen","ES"
1954,0,19,165.91,91.25,33.15,"Only secondary","ES citizen","ES"
2024,1,92,170.36,61.33,21.13,"Higher","ES citizen","ES"
1933,0,86,171.11,73.81,25.21,"Higher","ES citizen","ES"
1928,1,72,161.34,74.91,28.78,"Only kindergarten","ES citizen","ES"
2014,1,45,175.61,69.46,22.52,"Higher","ES citizen","ES"
1964,1,7,176.26,67.94,21.87,"Primary","ES citizen","ES"
1963,1,82,181.9,68.89,20.82,"Only primary","ES citizen","ES"
1966,0,61,176.03,95.51,30.82,"Only secondary","ES citizen","ES"
1992,1,87,168.66,58.71,20.64,"Only primary","ES citizen","ES"
1945,1,31,166.03,53.57,19.43,"Higher","ES citizen","ES"
1946,1,89,166.22,51.23,18.54,"Higher","ES citizen","ES"
1942,0,20,158.75,89.12,35.36,"Only secondary","ES citizen","ES"
2003,1,63,172.66,72.19,24.22,"Higher","ES citizen","ES"
2006,0,29,174.42,65.9,21.66,"Only kindergarten","ES citizen","ES"
2020,0,64,162.66,75.83,28.66,"Higher","ES citizen","ES"
1943,0,86,151,87.61,38.42,"Higher","ES citizen","ES"
2009,0,11,169.37,78.2,27.26,"Primary","ES citizen","ES"
2011,1,86,182.36,65.93,19.83,"Only secondary","ES citizen","ES"
1968,0,42,152.3,70.75,30.5,"Only secondary","ES citizen","ES"
1966,0,90,163.2,69.73,26.18,"Only secondary","ES citizen","ES"
